"Compound ID","Structure"
"CMPD_0000000011","[H]OC(=O)C([H])(N([H])[H])C([H])([H])[Se]C([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H]"
"CMPD_0000000014","[H]OC(=O)C([H])(N([H])[H])C([H])([H])[Se][H]"
"CMPD_0000000016","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])[Se][H]"
"CMPD_0000000017","[H]OC(=O)C(=C([H])[H])N([H])[H]"
"CMPD_0000000021","[H]N=C(C(=O)O[H])C([H])([H])[H]"
"CMPD_0000000025","[H]N=C(O[H])OC([H])([H])C([H])(C(=O)O[H])N([H])[H]"
"CMPD_0000000027","[H]N=c1nc(O[H])c2c(n1[H])N([H])C([H])([H])C([H])(C([H])([H])N([H])c1c([H])c([H])c(C(=O)N([H])C([H])(C(=O)O[H])C([H])([H])C([H])([H])C(=NC([H])(C(=O)O[H])C([H])([H])C([H])([H])C(=NC([H])(C(=O)O[H])C([H])([H])C([H])([H])C(=O)O[H])O[H])O[H])c([H])c1[H])N2[H]"
"CMPD_0000000028","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])[Se]C([H])([H])[H]"
"CMPD_0000000031","[H]OC(=O)C([H])(N([H])[H])C([H])([H])[Se]C([H])([H])[H]"
"CMPD_0000000034","[H]OC(=O)C([H])(N([H])[H])C([H])([H])Cl"
"CMPD_0000000036","[H]OC(=O)C([H])(N([H])[H])C([H])([H])S(=O)(=O)O[H]"
"CMPD_0000000037","[H]N=c1nc(O[H])c2c(n1[H])N([H])C([H])([H])C([H])(C([H])([H])N([H])c1c([H])c([H])c(C(=O)N([H])C([H])(C(=O)O[H])C([H])([H])C([H])([H])C(=NC([H])(C(=O)O[H])C([H])([H])C([H])([H])C(=O)O[H])O[H])c([H])c1[H])N2[H]"
"CMPD_0000000039","[H][Se]C([H])([H])[H]"
"MNXM02","[H]O[H]"
"MNXM1","[H+]"
"MNXM1094062","[H]OC(=O)C([H])(N([H])[H])C([H])([H])OP(=O)(O[H])O[H]"
"MNXM1102072","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])[S+](C([H])([H])[H])C([H])([H])C1([H])OC([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)C([H])(O[H])C1([H])O[H]"
"MNXM1103936","[H]N=c1nc(O[H])c2c(n1[H])N([H])C([H])([H])C([H])(C([H])([H])N([H])c1c([H])c([H])c(C(=O)N([H])C([H])(C(=O)O[H])C([H])([H])C([H])([H])C(=O)O[H])c([H])c1[H])N2[H]"
"MNXM1104266","[H]OC(=NC([H])([H])C([H])([H])SC(=O)C([H])([H])[H])C([H])([H])C([H])([H])N=C(O[H])C([H])(O[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C1([H])OC([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)C([H])(O[H])C1([H])OP(=O)(O[H])O[H]"
"MNXM1105731","[H]OC(=O)C([H])(N([H])[H])C([H])([H])[H]"
"MNXM1108288","[H]OC(=O)C([H])(N([H])[H])C([H])([H])S(=O)O[H]"
"MNXM123","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])S[H]"
"MNXM1275","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])SC([H])([H])[H]"
"MNXM738803","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])SC([H])([H])[H]"
"MNXM13","O=C=O"
"MNXM1334","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OP(=O)(O[H])O[H]"
"MNXM159","[H]OC(=O)C(=O)C([H])([H])C([H])([H])[H]"
"MNXM192","[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])N([H])[H]"
"MNXM2112","[H]OC(=O)C([H])(N([H])[H])C([H])([H])S[H]"
"MNXM738067","[H]OC(=O)C([H])(N([H])[H])C([H])([H])S[H]"
"MNXM23","[H]OC(=O)C(=O)C([H])([H])[H]"
"MNXM26","[H]OC(=O)C([H])([H])[H]"
"MNXM282","[H]OS(=O)(=O)C([H])([H])C([H])([H])N([H])[H]"
"MNXM319","[H]OC(=O)C([H])(N([H])[H])C([H])([H])SC([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H]"
"MNXM331","[H]OC(=O)C([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H]"
"MNXM741172","[H]OC(=O)C([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H]"
"MNXM353","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])O[H]"
"MNXM418","[H]OC(=O)C([H])(N([H])[H])C([H])([H])OC(=O)C([H])([H])[H]"
"MNXM694","[H]OC(=O)C([H])(N([H])[H])C([H])([H])O[H]"
"MNXM737786","[H]OC(=O)C([H])(N([H])[H])C([H])([H])O[H]"
"MNXM726339","[H]OS(=O)O[H]"
"MNXM729302","[H]N([H])[H]"
"MNXM729799","[H]OC([H])([H])[H]"
"MNXM735437","O=O"
"MNXM735978","[H]Cl"
"MNXM741485","[H][Se][H]"
"MNXM741553","[H]OC(=O)C([H])(N([H])[H])C([H])([H])c1c([H])n([H])c2c([H])c([H])c([H])c([H])c12"
"MNXM76","[H]OC(=O)C([H])(N([H])[H])C([H])([H])c1c([H])c([H])c(O[H])c([H])c1[H]"
"MNXM820","[H]OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H]"
"MNXM927","[H]OC(=O)C([H])(N([H])[H])C([H])([H])SSC([H])([H])C([H])(C(=O)O[H])N([H])[H]"
"MNXM960","[H]OP(=O)(O[H])OC([H])([H])C([H])([H])c1sc([H])nc1C([H])([H])[H]"
