"Initial source","Transformation ID","Reaction SMILES","Substrate SMILES","Substrate InChI","Product SMILES","Product InChI","In Sink","Sink name","Diameter","Rule ID","EC number","Score","Starting Source SMILES","Iteration"
"[target]","TRS_0_0_0","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]>>O=C=O.[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])N([H])[H].[H]OP(=O)(O[H])OC([H])([H])C([H])([H])c1sc([H])nc1C([H])([H])[H]","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","InChI=1S/C6H11NO4/c1-4(8)11-3-2-5(7)6(9)10/h5H,2-3,7H2,1H3,(H,9,10)","O=C=O","InChI=1S/CO2/c2-1-3","1","[MNXM13]","16","[RR-02-0fa988710f61cc6c-16-F]","[NOEC]","3.8457180179666586","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","0"
"[target]","TRS_0_0_0","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]>>O=C=O.[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])N([H])[H].[H]OP(=O)(O[H])OC([H])([H])C([H])([H])c1sc([H])nc1C([H])([H])[H]","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","InChI=1S/C6H11NO4/c1-4(8)11-3-2-5(7)6(9)10/h5H,2-3,7H2,1H3,(H,9,10)","[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])N([H])[H]","InChI=1S/C4H9NO2/c5-3-1-2-4(6)7/h1-3,5H2,(H,6,7)","1","[MNXM192]","16","[RR-02-0fa988710f61cc6c-16-F]","[NOEC]","3.8457180179666586","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","0"
"[target]","TRS_0_0_0","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]>>O=C=O.[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])N([H])[H].[H]OP(=O)(O[H])OC([H])([H])C([H])([H])c1sc([H])nc1C([H])([H])[H]","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","InChI=1S/C6H11NO4/c1-4(8)11-3-2-5(7)6(9)10/h5H,2-3,7H2,1H3,(H,9,10)","[H]OP(=O)(O[H])OC([H])([H])C([H])([H])c1sc([H])nc1C([H])([H])[H]","InChI=1S/C6H10NO4PS/c1-5-6(13-4-7-5)2-3-11-12(8,9)10/h4H,2-3H2,1H3,(H2,8,9,10)","1","[MNXM960]","16","[RR-02-0fa988710f61cc6c-16-F]","[NOEC]","3.8457180179666586","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","0"
"[target]","TRS_0_0_1","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]>>[H]OC(=NC([H])([H])C([H])([H])SC(=O)C([H])([H])[H])C([H])([H])C([H])([H])N=C(O[H])C([H])(O[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C1([H])OC([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)C([H])(O[H])C1([H])OP(=O)(O[H])O[H].[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])O[H]","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","InChI=1S/C6H11NO4/c1-4(8)11-3-2-5(7)6(9)10/h5H,2-3,7H2,1H3,(H,9,10)","[H]OC(=NC([H])([H])C([H])([H])SC(=O)C([H])([H])[H])C([H])([H])C([H])([H])N=C(O[H])C([H])(O[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C1([H])OC([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)C([H])(O[H])C1([H])OP(=O)(O[H])O[H]","InChI=1S/C23H38N7O17P3S/c1-12(31)51-7-6-25-14(32)4-5-26-21(35)18(34)23(2,3)9-44-50(41,42)47-49(39,40)43-8-13-17(46-48(36,37)38)16(33)22(45-13)30-11-29-15-19(24)27-10-28-20(15)30/h10-11,13,16-18,22,33-34H,4-9H2,1-3H3,(H,25,32)(H,26,35)(H,39,40)(H,41,42)(H2,24,27,28)(H2,36,37,38)","1","[MNXM1104266]","16","[RR-02-91ec6117017f6b38-16-F]","[2.3.1.31]","2.0170333392987803","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","0"
"[target]","TRS_0_0_1","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]>>[H]OC(=NC([H])([H])C([H])([H])SC(=O)C([H])([H])[H])C([H])([H])C([H])([H])N=C(O[H])C([H])(O[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C1([H])OC([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)C([H])(O[H])C1([H])OP(=O)(O[H])O[H].[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])O[H]","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","InChI=1S/C6H11NO4/c1-4(8)11-3-2-5(7)6(9)10/h5H,2-3,7H2,1H3,(H,9,10)","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])O[H]","InChI=1S/C4H9NO3/c5-3(1-2-6)4(7)8/h3,6H,1-2,5H2,(H,7,8)","1","[MNXM353]","16","[RR-02-91ec6117017f6b38-16-F]","[2.3.1.31]","2.0170333392987803","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","0"
"[target]","TRS_0_0_2","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]>>[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])SC([H])([H])[H].[H]OC(=O)C([H])([H])[H]","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","InChI=1S/C6H11NO4/c1-4(8)11-3-2-5(7)6(9)10/h5H,2-3,7H2,1H3,(H,9,10)","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])SC([H])([H])[H]","InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)","1","[MNXM1275, MNXM738803]","16","[RR-02-b5d69cb82a0cbef6-16-F]","[2.5.1.49]","0.0","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","0"
"[target]","TRS_0_0_2","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]>>[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])SC([H])([H])[H].[H]OC(=O)C([H])([H])[H]","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","InChI=1S/C6H11NO4/c1-4(8)11-3-2-5(7)6(9)10/h5H,2-3,7H2,1H3,(H,9,10)","[H]OC(=O)C([H])([H])[H]","InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)","1","[MNXM26]","16","[RR-02-b5d69cb82a0cbef6-16-F]","[2.5.1.49]","0.0","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","0"
"[target]","TRS_0_0_3","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]>>[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])S[H].[H]OC(=O)C([H])([H])[H]","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","InChI=1S/C6H11NO4/c1-4(8)11-3-2-5(7)6(9)10/h5H,2-3,7H2,1H3,(H,9,10)","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])S[H]","InChI=1S/C4H9NO2S/c5-3(1-2-8)4(6)7/h3,8H,1-2,5H2,(H,6,7)","1","[MNXM123]","16","[RR-02-9cb19d5f7d0baf87-16-F]","[2.5.1.49, 4.2.99.10, 4.2.99.8]","0.6020599913279624","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","0"
"[target]","TRS_0_0_3","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]>>[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])S[H].[H]OC(=O)C([H])([H])[H]","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","InChI=1S/C6H11NO4/c1-4(8)11-3-2-5(7)6(9)10/h5H,2-3,7H2,1H3,(H,9,10)","[H]OC(=O)C([H])([H])[H]","InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)","1","[MNXM26]","16","[RR-02-9cb19d5f7d0baf87-16-F]","[2.5.1.49, 4.2.99.10, 4.2.99.8]","0.6020599913279624","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","0"
"[target]","TRS_0_0_4","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]>>[H]OC(=O)C([H])(N([H])[H])C([H])([H])SC([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H].[H]OC(=O)C([H])([H])[H]","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","InChI=1S/C6H11NO4/c1-4(8)11-3-2-5(7)6(9)10/h5H,2-3,7H2,1H3,(H,9,10)","[H]OC(=O)C([H])(N([H])[H])C([H])([H])SC([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H]","InChI=1S/C7H14N2O4S/c8-4(6(10)11)1-2-14-3-5(9)7(12)13/h4-5H,1-3,8-9H2,(H,10,11)(H,12,13)","1","[MNXM319]","16","[RR-02-ed6ef7dca86a88fd-16-F]","[2.5.1.48, 2.5.1.49, 4.2.99.9]","1.1760912590556811","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","0"
"[target]","TRS_0_0_4","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]>>[H]OC(=O)C([H])(N([H])[H])C([H])([H])SC([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H].[H]OC(=O)C([H])([H])[H]","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","InChI=1S/C6H11NO4/c1-4(8)11-3-2-5(7)6(9)10/h5H,2-3,7H2,1H3,(H,9,10)","[H]OC(=O)C([H])([H])[H]","InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)","1","[MNXM26]","16","[RR-02-ed6ef7dca86a88fd-16-F]","[2.5.1.48, 2.5.1.49, 4.2.99.9]","1.1760912590556811","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","0"
